target,selected_model,selection_rule,validation_RMSE,cv_RMSE_mean,model_file
日平均负荷,RandomForest,优先验证集 RMSE 最小；若接近，再参考 TimeSeriesSplit 平均 RMSE,248.93,555.96,output\project2\models\load_mean_RandomForest.joblib
日最高负荷,Stacking,优先验证集 RMSE 最小；若接近，再参考 TimeSeriesSplit 平均 RMSE,328.33,755.54,output\project2\models\load_max_Stacking.joblib
日最低负荷,XGBoost,优先验证集 RMSE 最小；若接近，再参考 TimeSeriesSplit 平均 RMSE,198.6,406.24,output\project2\models\load_min_XGBoost.joblib
