target,term,coef,p_value,r_squared,adj_r_squared
日最高负荷,const,4286.658360689359,6.853075158131815e-14,0.44027939257870097,0.4371898584071022
日最高负荷,temp_avg,215.53323180042074,5.118997323458122e-25,0.44027939257870097,0.4371898584071022
日最高负荷,temp_range,-49.011846629037926,0.008587041872890685,0.44027939257870097,0.4371898584071022
日最高负荷,humidity,-7.11915176599833,0.06494929787251394,0.44027939257870097,0.4371898584071022
日最高负荷,rainfall,7.868279813805176,0.011319153827866225,0.44027939257870097,0.4371898584071022
日最高负荷,hdd,180.87920370411868,5.656116627103292e-06,0.44027939257870097,0.4371898584071022
日最高负荷,cdd,234.37752874963823,1.3907475823538449e-05,0.44027939257870097,0.4371898584071022
日最低负荷,const,2428.9468348990067,2.4892830127812333e-16,0.5480527178429193,0.5455580686313807
日最低负荷,temp_avg,115.74920381315417,8.213162409134072e-27,0.5480527178429193,0.5455580686313807
日最低负荷,temp_range,-32.25249917262094,0.0008236642404295764,0.5480527178429193,0.5455580686313807
日最低负荷,humidity,-4.440984823456568,0.025877941631949564,0.5480527178429193,0.5455580686313807
日最低负荷,rainfall,5.621665549071368,0.00046801760562974843,0.5480527178429193,0.5455580686313807
日最低负荷,hdd,88.37107048718626,1.7462770181664355e-05,0.5480527178429193,0.5455580686313807
日最低负荷,cdd,220.8913409456275,4.157085795835934e-15,0.5480527178429193,0.5455580686313807
日平均负荷,const,3611.0747814098318,2.823873671638593e-17,0.48435251249493394,0.4815062522143172
日平均负荷,temp_avg,159.51237617291116,8.516889616373355e-25,0.48435251249493394,0.4815062522143172
日平均负荷,temp_range,-40.72730224699305,0.0033356356494204263,0.48435251249493394,0.4815062522143172
日平均负荷,humidity,-5.958027712497319,0.03787156610729827,0.48435251249493394,0.4815062522143172
日平均负荷,rainfall,6.279412990283132,0.006588960830703563,0.48435251249493394,0.4815062522143172
日平均负荷,hdd,127.33414191420675,1.7231454899367637e-05,0.48435251249493394,0.4815062522143172
日平均负荷,cdd,240.88754862201836,2.216582618514681e-09,0.48435251249493394,0.4815062522143172
