model,epoch,train_loss,val_loss,best_epoch,fit_seconds
GRU,1,0.32884334293859346,0.35050690174102783,72,6.671703100204468
GRU,2,0.24730275331863336,0.2769801914691925,72,6.671703100204468
GRU,3,0.21195519901812077,0.23810803890228271,72,6.671703100204468
GRU,4,0.18553130754402705,0.22021609544754028,72,6.671703100204468
GRU,5,0.17181537792618787,0.20343101024627686,72,6.671703100204468
GRU,6,0.1527504399418831,0.17742331326007843,72,6.671703100204468
GRU,7,0.13963809010705777,0.16705681383609772,72,6.671703100204468
GRU,8,0.12571292237511703,0.16517961025238037,72,6.671703100204468
GRU,9,0.11490039846726827,0.14496898651123047,72,6.671703100204468
GRU,10,0.11056782039148468,0.1507468968629837,72,6.671703100204468
GRU,11,0.10404340776481799,0.1508585810661316,72,6.671703100204468
GRU,12,0.09723129788679737,0.14201679825782776,72,6.671703100204468
GRU,13,0.09336913643138749,0.1355012208223343,72,6.671703100204468
GRU,14,0.08902522269636393,0.13472338020801544,72,6.671703100204468
GRU,15,0.08771937007882766,0.13307435810565948,72,6.671703100204468
GRU,16,0.08238791434892587,0.14942258596420288,72,6.671703100204468
GRU,17,0.08046699993844543,0.13240937888622284,72,6.671703100204468
GRU,18,0.07725608262366482,0.12477672100067139,72,6.671703100204468
GRU,19,0.07530797698668071,0.1232142373919487,72,6.671703100204468
GRU,20,0.07078265285651598,0.1146550178527832,72,6.671703100204468
GRU,21,0.066507867737008,0.11894145607948303,72,6.671703100204468
GRU,22,0.06654973421245813,0.10931478440761566,72,6.671703100204468
GRU,23,0.06336408554177199,0.10385040193796158,72,6.671703100204468
GRU,24,0.06205761033509459,0.10660107433795929,72,6.671703100204468
GRU,25,0.06333781333108034,0.10047135502099991,72,6.671703100204468
GRU,26,0.06037911819294095,0.10201523452997208,72,6.671703100204468
GRU,27,0.05466721426429493,0.1128729060292244,72,6.671703100204468
GRU,28,0.059174901672772,0.09619080275297165,72,6.671703100204468
GRU,29,0.05517776636406779,0.088741734623909,72,6.671703100204468
GRU,30,0.05852481835920896,0.10739270597696304,72,6.671703100204468
GRU,31,0.05159972820963178,0.08461394906044006,72,6.671703100204468
GRU,32,0.05189992633781263,0.09105851501226425,72,6.671703100204468
GRU,33,0.05188502078609807,0.08203809708356857,72,6.671703100204468
GRU,34,0.05256473858441625,0.07944861799478531,72,6.671703100204468
GRU,35,0.051060801305408986,0.07764306664466858,72,6.671703100204468
GRU,36,0.05311771774930613,0.08181314915418625,72,6.671703100204468
GRU,37,0.05069151780168925,0.08160185068845749,72,6.671703100204468
GRU,38,0.054210652730294635,0.08175910264253616,72,6.671703100204468
GRU,39,0.047080036851444414,0.08569768071174622,72,6.671703100204468
GRU,40,0.04677217427108969,0.08195656538009644,72,6.671703100204468
GRU,41,0.05141641618683934,0.07730084657669067,72,6.671703100204468
GRU,42,0.04622822707252843,0.07818975299596786,72,6.671703100204468
GRU,43,0.04722751071676612,0.07848671823740005,72,6.671703100204468
GRU,44,0.047870550670527985,0.07351183146238327,72,6.671703100204468
GRU,45,0.04421523818746209,0.07766962796449661,72,6.671703100204468
GRU,46,0.047910338533776145,0.08317297697067261,72,6.671703100204468
GRU,47,0.04628725702475224,0.08512988686561584,72,6.671703100204468
GRU,48,0.04788339597039989,0.07428371906280518,72,6.671703100204468
GRU,49,0.045603655578036396,0.07395541667938232,72,6.671703100204468
GRU,50,0.04502876571911786,0.06966827064752579,72,6.671703100204468
GRU,51,0.04534326846312199,0.07206711918115616,72,6.671703100204468
GRU,52,0.04382417909801006,0.07307013124227524,72,6.671703100204468
