target,term,coef,p_value,r_squared,adj_r_squared
日最高负荷,const,4286.65836068936,6.853075158131292e-14,0.44027939257870097,0.4371898584071022
日最高负荷,temp_avg,215.5332318004211,5.118997323457315e-25,0.44027939257870097,0.4371898584071022
日最高负荷,temp_range,-49.01184662903765,0.008587041872891053,0.44027939257870097,0.4371898584071022
日最高负荷,humidity,-7.119151765998397,0.0649492978725115,0.44027939257870097,0.4371898584071022
日最高负荷,rainfall,7.868279813805465,0.01131915382786324,0.44027939257870097,0.4371898584071022
日最高负荷,hdd,180.87920370411905,5.656116627103073e-06,0.44027939257870097,0.4371898584071022
日最高负荷,cdd,234.37752874963797,1.3907475823538767e-05,0.44027939257870097,0.4371898584071022
日最低负荷,const,2428.946834899006,2.4892830127811036e-16,0.5480527178429193,0.5455580686313807
日最低负荷,temp_avg,115.74920381315445,8.213162409131953e-27,0.5480527178429193,0.5455580686313807
日最低负荷,temp_range,-32.25249917262075,0.0008236642404296283,0.5480527178429193,0.5455580686313807
日最低负荷,humidity,-4.440984823456645,0.025877941631946982,0.5480527178429193,0.5455580686313807
日最低负荷,rainfall,5.621665549071512,0.0004680176056295932,0.5480527178429193,0.5455580686313807
日最低负荷,hdd,88.37107048718657,1.746277018166332e-05,0.5480527178429193,0.5455580686313807
日最低负荷,cdd,220.89134094562775,4.157085795835684e-15,0.5480527178429193,0.5455580686313807
日平均负荷,const,3611.07478140983,2.823873671638501e-17,0.48435251249493383,0.4815062522143171
日平均负荷,temp_avg,159.51237617291147,8.5168896163718e-25,0.48435251249493383,0.4815062522143171
日平均负荷,temp_range,-40.7273022469927,0.0033356356494206826,0.48435251249493383,0.4815062522143171
日平均负荷,humidity,-5.958027712497404,0.037871566107295605,0.48435251249493383,0.4815062522143171
日平均负荷,rainfall,6.279412990283364,0.006588960830701581,0.48435251249493383,0.4815062522143171
日平均负荷,hdd,127.33414191420694,1.7231454899367244e-05,0.48435251249493383,0.4815062522143171
日平均负荷,cdd,240.88754862201844,2.216582618514647e-09,0.48435251249493383,0.4815062522143171
